Directive,File,Line Number,Description
#include <BlynkSimpleEthernetENC.h>,examples/Boards_Ethernet/ENC28J60/ENC28J60.ino,43,Includes the contents of a file (BlynkSimpleEthernetENC.h)
#define BLYNK_PRINT Serial,examples/Boards_GSM/Arduino_MKRGSM/Arduino_MKRGSM.ino,27,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/Boards_GSM/Arduino_MKRGSM/Arduino_MKRGSM.ino,35,Includes the contents of a file (SPI.h)
#include <MKRGSM.h>,examples/Boards_GSM/Arduino_MKRGSM/Arduino_MKRGSM.ino,36,Includes the contents of a file (MKRGSM.h)
#include <BlynkSimpleMKRGSM.h>,examples/Boards_GSM/Arduino_MKRGSM/Arduino_MKRGSM.ino,37,Includes the contents of a file (BlynkSimpleMKRGSM.h)
#define BLYNK_PRINT Serial,examples/Boards_GSM/Arduino_MKRNB/Arduino_MKRNB.ino,24,Defines a macro or constant (BLYNK_PRINT)
#include <MKRNB.h>,examples/Boards_GSM/Arduino_MKRNB/Arduino_MKRNB.ino,32,Includes the contents of a file (MKRNB.h)
#include <BlynkSimpleMKRNB.h>,examples/Boards_GSM/Arduino_MKRNB/Arduino_MKRNB.ino,33,Includes the contents of a file (BlynkSimpleMKRNB.h)
#define BLYNK_PRINT Serial,examples/Boards_GSM/TinyGSM_MKR1400/TinyGSM_MKR1400.ino,26,Defines a macro or constant (BLYNK_PRINT)
#define TINY_GSM_MODEM_UBLOX,examples/Boards_GSM/TinyGSM_MKR1400/TinyGSM_MKR1400.ino,35,Defines a macro or constant (TINY_GSM_MODEM_UBLOX)
#include <TinyGsmClient.h>,examples/Boards_GSM/TinyGSM_MKR1400/TinyGSM_MKR1400.ino,41,Includes the contents of a file (TinyGsmClient.h)
#include <BlynkSimpleTinyGSM.h>,examples/Boards_GSM/TinyGSM_MKR1400/TinyGSM_MKR1400.ino,42,Includes the contents of a file (BlynkSimpleTinyGSM.h)
#define BLYNK_PRINT Serial,examples/Boards_GSM/TinyGSM_SIM800_SIM900/TinyGSM_SIM800_SIM900.ino,26,Defines a macro or constant (BLYNK_PRINT)
#define TINY_GSM_MODEM_SIM800,examples/Boards_GSM/TinyGSM_SIM800_SIM900/TinyGSM_SIM800_SIM900.ino,35,Defines a macro or constant (TINY_GSM_MODEM_SIM800)
#include <TinyGsmClient.h>,examples/Boards_GSM/TinyGSM_SIM800_SIM900/TinyGSM_SIM800_SIM900.ino,47,Includes the contents of a file (TinyGsmClient.h)
#include <BlynkSimpleTinyGSM.h>,examples/Boards_GSM/TinyGSM_SIM800_SIM900/TinyGSM_SIM800_SIM900.ino,48,Includes the contents of a file (BlynkSimpleTinyGSM.h)
#define SerialAT Serial1,examples/Boards_GSM/TinyGSM_SIM800_SIM900/TinyGSM_SIM800_SIM900.ino,57,Defines a macro or constant (SerialAT)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Adafruit_Feather_M0_WiFi/Adafruit_Feather_M0_WiFi.ino,26,Defines a macro or constant (BLYNK_PRINT)
#include <WiFi101.h>,examples/Boards_WiFi/Adafruit_Feather_M0_WiFi/Adafruit_Feather_M0_WiFi.ino,34,Includes the contents of a file (WiFi101.h)
#include <BlynkSimpleWiFiShield101.h>,examples/Boards_WiFi/Adafruit_Feather_M0_WiFi/Adafruit_Feather_M0_WiFi.ino,35,Includes the contents of a file (BlynkSimpleWiFiShield101.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Arduino_MKR1000/Arduino_MKR1000.ino,26,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/Boards_WiFi/Arduino_MKR1000/Arduino_MKR1000.ino,34,Includes the contents of a file (SPI.h)
#include <WiFi101.h>,examples/Boards_WiFi/Arduino_MKR1000/Arduino_MKR1000.ino,35,Includes the contents of a file (WiFi101.h)
#include <BlynkSimpleMKR1000.h>,examples/Boards_WiFi/Arduino_MKR1000/Arduino_MKR1000.ino,36,Includes the contents of a file (BlynkSimpleMKR1000.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Arduino_MKR1010/Arduino_MKR1010.ino,26,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/Boards_WiFi/Arduino_MKR1010/Arduino_MKR1010.ino,34,Includes the contents of a file (SPI.h)
#include <WiFiNINA.h>,examples/Boards_WiFi/Arduino_MKR1010/Arduino_MKR1010.ino,35,Includes the contents of a file (WiFiNINA.h)
#include <BlynkSimpleWiFiNINA.h>,examples/Boards_WiFi/Arduino_MKR1010/Arduino_MKR1010.ino,36,Includes the contents of a file (BlynkSimpleWiFiNINA.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Arduino_WiFi_Shield/Arduino_WiFi_Shield.ino,27,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/Boards_WiFi/Arduino_WiFi_Shield/Arduino_WiFi_Shield.ino,35,Includes the contents of a file (SPI.h)
#include <WiFi.h>,examples/Boards_WiFi/Arduino_WiFi_Shield/Arduino_WiFi_Shield.ino,36,Includes the contents of a file (WiFi.h)
#include <BlynkSimpleWifi.h>,examples/Boards_WiFi/Arduino_WiFi_Shield/Arduino_WiFi_Shield.ino,37,Includes the contents of a file (BlynkSimpleWifi.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Arduino_WiFi_Shield_101/Arduino_WiFi_Shield_101.ino,26,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/Boards_WiFi/Arduino_WiFi_Shield_101/Arduino_WiFi_Shield_101.ino,34,Includes the contents of a file (SPI.h)
#include <WiFi101.h>,examples/Boards_WiFi/Arduino_WiFi_Shield_101/Arduino_WiFi_Shield_101.ino,35,Includes the contents of a file (WiFi101.h)
#include <BlynkSimpleWiFiShield101.h>,examples/Boards_WiFi/Arduino_WiFi_Shield_101/Arduino_WiFi_Shield_101.ino,36,Includes the contents of a file (BlynkSimpleWiFiShield101.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Arduino_Yun/Arduino_Yun.ino,24,Defines a macro or constant (BLYNK_PRINT)
#include <Bridge.h>,examples/Boards_WiFi/Arduino_Yun/Arduino_Yun.ino,32,Includes the contents of a file (Bridge.h)
#include <BlynkSimpleYun.h>,examples/Boards_WiFi/Arduino_Yun/Arduino_Yun.ino,33,Includes the contents of a file (BlynkSimpleYun.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Arduino_org_UNO_WiFi/Arduino_org_UNO_WiFi.ino,28,Defines a macro or constant (BLYNK_PRINT)
#include <WiFiLink.h>,examples/Boards_WiFi/Arduino_org_UNO_WiFi/Arduino_org_UNO_WiFi.ino,36,Includes the contents of a file (WiFiLink.h)
#include <BlynkSimpleWiFiLink.h>,examples/Boards_WiFi/Arduino_org_UNO_WiFi/Arduino_org_UNO_WiFi.ino,37,Includes the contents of a file (BlynkSimpleWiFiLink.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/ESP32_WiFi/ESP32_WiFi.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <WiFi.h>,examples/Boards_WiFi/ESP32_WiFi/ESP32_WiFi.ino,38,Includes the contents of a file (WiFi.h)
#include <WiFiClient.h>,examples/Boards_WiFi/ESP32_WiFi/ESP32_WiFi.ino,39,Includes the contents of a file (WiFiClient.h)
#include <BlynkSimpleEsp32.h>,examples/Boards_WiFi/ESP32_WiFi/ESP32_WiFi.ino,40,Includes the contents of a file (BlynkSimpleEsp32.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/ESP32_WiFi_SSL/ESP32_WiFi_SSL.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <WiFi.h>,examples/Boards_WiFi/ESP32_WiFi_SSL/ESP32_WiFi_SSL.ino,38,Includes the contents of a file (WiFi.h)
#include <WiFiClientSecure.h>,examples/Boards_WiFi/ESP32_WiFi_SSL/ESP32_WiFi_SSL.ino,39,Includes the contents of a file (WiFiClientSecure.h)
#include <BlynkSimpleEsp32_SSL.h>,examples/Boards_WiFi/ESP32_WiFi_SSL/ESP32_WiFi_SSL.ino,40,Includes the contents of a file (BlynkSimpleEsp32_SSL.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/ESP8266_Shield/ESP8266_Shield.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <ESP8266_Lib.h>,examples/Boards_WiFi/ESP8266_Shield/ESP8266_Shield.ino,38,Includes the contents of a file (ESP8266_Lib.h)
#include <BlynkSimpleShieldEsp8266.h>,examples/Boards_WiFi/ESP8266_Shield/ESP8266_Shield.ino,39,Includes the contents of a file (BlynkSimpleShieldEsp8266.h)
#define EspSerial Serial1,examples/Boards_WiFi/ESP8266_Shield/ESP8266_Shield.ino,47,Defines a macro or constant (EspSerial)
#define ESP8266_BAUD 115200,examples/Boards_WiFi/ESP8266_Shield/ESP8266_Shield.ino,54,Defines a macro or constant (ESP8266_BAUD)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/ESP8266_Standalone/ESP8266_Standalone.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <ESP8266WiFi.h>,examples/Boards_WiFi/ESP8266_Standalone/ESP8266_Standalone.ino,38,Includes the contents of a file (ESP8266WiFi.h)
#include <BlynkSimpleEsp8266.h>,examples/Boards_WiFi/ESP8266_Standalone/ESP8266_Standalone.ino,39,Includes the contents of a file (BlynkSimpleEsp8266.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/ESP8266_Standalone_Manual_IP/ESP8266_Standalone_Manual_IP.ino,28,Defines a macro or constant (BLYNK_PRINT)
#include <ESP8266WiFi.h>,examples/Boards_WiFi/ESP8266_Standalone_Manual_IP/ESP8266_Standalone_Manual_IP.ino,36,Includes the contents of a file (ESP8266WiFi.h)
#include <BlynkSimpleEsp8266.h>,examples/Boards_WiFi/ESP8266_Standalone_Manual_IP/ESP8266_Standalone_Manual_IP.ino,37,Includes the contents of a file (BlynkSimpleEsp8266.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/ESP8266_Standalone_SSL/ESP8266_Standalone_SSL.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <ESP8266WiFi.h>,examples/Boards_WiFi/ESP8266_Standalone_SSL/ESP8266_Standalone_SSL.ino,38,Includes the contents of a file (ESP8266WiFi.h)
#include <BlynkSimpleEsp8266_SSL.h>,examples/Boards_WiFi/ESP8266_Standalone_SSL/ESP8266_Standalone_SSL.ino,39,Includes the contents of a file (BlynkSimpleEsp8266_SSL.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Fishino/Fishino.ino,28,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/Boards_WiFi/Fishino/Fishino.ino,36,Includes the contents of a file (SPI.h)
#include <Fishino.h>,examples/Boards_WiFi/Fishino/Fishino.ino,37,Includes the contents of a file (Fishino.h)
#include <BlynkSimpleFishino.h>,examples/Boards_WiFi/Fishino/Fishino.ino,38,Includes the contents of a file (BlynkSimpleFishino.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/LinkItONE/LinkItONE.ino,24,Defines a macro or constant (BLYNK_PRINT)
#include <LWiFi.h>,examples/Boards_WiFi/LinkItONE/LinkItONE.ino,32,Includes the contents of a file (LWiFi.h)
#include <LWiFiClient.h>,examples/Boards_WiFi/LinkItONE/LinkItONE.ino,33,Includes the contents of a file (LWiFiClient.h)
#include <BlynkSimpleLinkItONE.h>,examples/Boards_WiFi/LinkItONE/LinkItONE.ino,34,Includes the contents of a file (BlynkSimpleLinkItONE.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/RN_XV_WiFly/RN_XV_WiFly.ino,32,Defines a macro or constant (BLYNK_PRINT)
#include <WiFlyHQ.h>,examples/Boards_WiFi/RN_XV_WiFly/RN_XV_WiFly.ino,40,Includes the contents of a file (WiFlyHQ.h)
#include <BlynkSimpleWiFly.h>,examples/Boards_WiFi/RN_XV_WiFly/RN_XV_WiFly.ino,41,Includes the contents of a file (BlynkSimpleWiFly.h)
#define WiFlySerial Serial1,examples/Boards_WiFi/RN_XV_WiFly/RN_XV_WiFly.ino,48,Defines a macro or constant (WiFlySerial)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/RedBear_Duo_WiFi/RedBear_Duo_WiFi.ino,24,Defines a macro or constant (BLYNK_PRINT)
#include <BlynkSimpleRedBear_Duo.h>,examples/Boards_WiFi/RedBear_Duo_WiFi/RedBear_Duo_WiFi.ino,32,Includes the contents of a file (BlynkSimpleRedBear_Duo.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Sparkfun_Blynk_Board/Sparkfun_Blynk_Board.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <ESP8266WiFi.h>,examples/Boards_WiFi/Sparkfun_Blynk_Board/Sparkfun_Blynk_Board.ino,38,Includes the contents of a file (ESP8266WiFi.h)
#include <BlynkSimpleEsp8266.h>,examples/Boards_WiFi/Sparkfun_Blynk_Board/Sparkfun_Blynk_Board.ino,39,Includes the contents of a file (BlynkSimpleEsp8266.h)
#include <SoftwareSerial.h>,examples/Boards_WiFi/TheAirBoard_WiFly/TheAirBoard_WiFly.ino,30,Includes the contents of a file (SoftwareSerial.h)
#define BLYNK_PRINT DebugSerial,examples/Boards_WiFi/TheAirBoard_WiFly/TheAirBoard_WiFly.ino,34,Defines a macro or constant (BLYNK_PRINT)
#include <TheAirBoard.h>,examples/Boards_WiFi/TheAirBoard_WiFly/TheAirBoard_WiFly.ino,42,Includes the contents of a file (TheAirBoard.h)
#include <WiFlyHQ.h>,examples/Boards_WiFi/TheAirBoard_WiFly/TheAirBoard_WiFly.ino,43,Includes the contents of a file (WiFlyHQ.h)
#include <BlynkSimpleWiFly.h>,examples/Boards_WiFi/TheAirBoard_WiFly/TheAirBoard_WiFly.ino,44,Includes the contents of a file (BlynkSimpleWiFly.h)
#define WiFlySerial Serial,examples/Boards_WiFi/TheAirBoard_WiFly/TheAirBoard_WiFly.ino,51,Defines a macro or constant (WiFlySerial)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/TinyDuino_WiFi/TinyDuino_WiFi.ino,29,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/Boards_WiFi/TinyDuino_WiFi/TinyDuino_WiFi.ino,37,Includes the contents of a file (SPI.h)
#include <Adafruit_CC3000.h>,examples/Boards_WiFi/TinyDuino_WiFi/TinyDuino_WiFi.ino,38,Includes the contents of a file (Adafruit_CC3000.h)
#include <BlynkSimpleTinyDuino.h>,examples/Boards_WiFi/TinyDuino_WiFi/TinyDuino_WiFi.ino,39,Includes the contents of a file (BlynkSimpleTinyDuino.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/WildFire_V3/WildFire_V3.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/Boards_WiFi/WildFire_V3/WildFire_V3.ino,38,Includes the contents of a file (SPI.h)
#include <WildFire.h>,examples/Boards_WiFi/WildFire_V3/WildFire_V3.ino,39,Includes the contents of a file (WildFire.h)
#include <WildFire_CC3000.h>,examples/Boards_WiFi/WildFire_V3/WildFire_V3.ino,40,Includes the contents of a file (WildFire_CC3000.h)
#include <BlynkSimpleWildFire.h>,examples/Boards_WiFi/WildFire_V3/WildFire_V3.ino,41,Includes the contents of a file (BlynkSimpleWildFire.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/WildFire_V4/WildFire_V4.ino,28,Defines a macro or constant (BLYNK_PRINT)
#include <ESP8266_Lib.h>,examples/Boards_WiFi/WildFire_V4/WildFire_V4.ino,36,Includes the contents of a file (ESP8266_Lib.h)
#include <BlynkSimpleShieldEsp8266.h>,examples/Boards_WiFi/WildFire_V4/WildFire_V4.ino,37,Includes the contents of a file (BlynkSimpleShieldEsp8266.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/Wio_Terminal/Wio_Terminal.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <rpcWiFi.h>,examples/Boards_WiFi/Wio_Terminal/Wio_Terminal.ino,38,Includes the contents of a file (rpcWiFi.h)
#include <WiFiClient.h>,examples/Boards_WiFi/Wio_Terminal/Wio_Terminal.ino,39,Includes the contents of a file (WiFiClient.h)
#include <BlynkSimpleWioTerminal.h>,examples/Boards_WiFi/Wio_Terminal/Wio_Terminal.ino,40,Includes the contents of a file (BlynkSimpleWioTerminal.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/WizFi250/WizFi250.ino,26,Defines a macro or constant (BLYNK_PRINT)
#include <WizFi250.h>,examples/Boards_WiFi/WizFi250/WizFi250.ino,33,Includes the contents of a file (WizFi250.h)
#include <BlynkSimpleWizFi250.h>,examples/Boards_WiFi/WizFi250/WizFi250.ino,34,Includes the contents of a file (BlynkSimpleWizFi250.h)
#define BLYNK_PRINT Serial,examples/Boards_WiFi/WizFi310/WizFi310.ino,26,Defines a macro or constant (BLYNK_PRINT)
#include <WizFi310.h>,examples/Boards_WiFi/WizFi310/WizFi310.ino,34,Includes the contents of a file (WizFi310.h)
#include <BlynkSimpleWizFi310.h>,examples/Boards_WiFi/WizFi310/WizFi310.ino,35,Includes the contents of a file (BlynkSimpleWizFi310.h)
#include <SPI.h>,examples/Boards_With_HTTP_API/Arduino_Ethernet/Arduino_Ethernet.ino,28,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/Boards_With_HTTP_API/Arduino_Ethernet/Arduino_Ethernet.ino,29,Includes the contents of a file (Ethernet.h)
#define W5100_CS  10,examples/Boards_With_HTTP_API/Arduino_Ethernet/Arduino_Ethernet.ino,45,Defines a macro or constant (W5100_CS)
#define SDCARD_CS 4,examples/Boards_With_HTTP_API/Arduino_Ethernet/Arduino_Ethernet.ino,46,Defines a macro or constant (SDCARD_CS)
#include <GSM.h>,examples/Boards_With_HTTP_API/Arduino_GSM/Arduino_GSM.ino,21,Includes the contents of a file (GSM.h)
"#define PINNUMBER """"",examples/Boards_With_HTTP_API/Arduino_GSM/Arduino_GSM.ino,33,Defines a macro or constant (PINNUMBER)
"#define GPRS_APN       ""GPRS_APN"" // replace your GPRS APN",examples/Boards_With_HTTP_API/Arduino_GSM/Arduino_GSM.ino,36,Defines a macro or constant (GPRS_APN)
"#define GPRS_LOGIN     ""login""    // replace with your GPRS login",examples/Boards_With_HTTP_API/Arduino_GSM/Arduino_GSM.ino,37,Defines a macro or constant (GPRS_LOGIN)
"#define GPRS_PASSWORD  ""password"" // replace with your GPRS password",examples/Boards_With_HTTP_API/Arduino_GSM/Arduino_GSM.ino,38,Defines a macro or constant (GPRS_PASSWORD)
#ifdef ESP32,examples/Boards_With_HTTP_API/ESP8266_ESP32/ESP8266_ESP32.ino,21,Conditional compilation - evaluates compile-time expression - def ESP32
#include <WiFi.h>,examples/Boards_With_HTTP_API/ESP8266_ESP32/ESP8266_ESP32.ino,22,Includes the contents of a file (WiFi.h)
#else,examples/Boards_With_HTTP_API/ESP8266_ESP32/ESP8266_ESP32.ino,23,Else clause for conditional compilation
#include <ESP8266WiFi.h>,examples/Boards_With_HTTP_API/ESP8266_ESP32/ESP8266_ESP32.ino,24,Includes the contents of a file (ESP8266WiFi.h)
#endif,examples/Boards_With_HTTP_API/ESP8266_ESP32/ESP8266_ESP32.ino,25,Ends conditional compilation block
"#define GPRS_APN       ""YourAPN""    // Replace your GPRS APN",examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,39,Defines a macro or constant (GPRS_APN)
"#define GPRS_USER      """"           // Replace with your GPRS user",examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,40,Defines a macro or constant (GPRS_USER)
"#define GPRS_PASSWORD  """"           // Replace with your GPRS password",examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,41,Defines a macro or constant (GPRS_PASSWORD)
#ifdef GPRS_USER,examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,181,Conditional compilation - evaluates compile-time expression - def GPRS_USER
#endif,examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,184,Ends conditional compilation block
#ifdef GPRS_PASSWORD,examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,185,Conditional compilation - evaluates compile-time expression - def GPRS_PASSWORD
#endif,examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,188,Ends conditional compilation block
#ifdef USE_HTTPS,examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,245,Conditional compilation - evaluates compile-time expression - def USE_HTTPS
#else,examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,250,Else clause for conditional compilation
#endif,examples/Boards_With_HTTP_API/SIM800_SIM900/SIM800_SIM900.ino,253,Ends conditional compilation block
#define BLYNK_PRINT Serial // Enables Serial Monitor,examples/GettingStarted/BlynkBlink/BlynkBlink.ino,50,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/GettingStarted/BlynkBlink/BlynkBlink.ino,60,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/GettingStarted/BlynkBlink/BlynkBlink.ino,61,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/GettingStarted/BlynkBlink/BlynkBlink.ino,62,Includes the contents of a file (BlynkSimpleEthernet.h)
#define BLYNK_PRINT Serial,examples/GettingStarted/GetData/GetData.ino,26,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/GettingStarted/GetData/GetData.ino,34,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/GettingStarted/GetData/GetData.ino,35,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/GettingStarted/GetData/GetData.ino,36,Includes the contents of a file (BlynkSimpleEthernet.h)
#define BLYNK_PRINT Serial,examples/GettingStarted/PushData/PushData.ino,30,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/GettingStarted/PushData/PushData.ino,38,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/GettingStarted/PushData/PushData.ino,39,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/GettingStarted/PushData/PushData.ino,40,Includes the contents of a file (BlynkSimpleEthernet.h)
#define BLYNK_PRINT Serial,examples/GettingStarted/Servo/Servo.ino,25,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/GettingStarted/Servo/Servo.ino,33,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/GettingStarted/Servo/Servo.ino,34,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/GettingStarted/Servo/Servo.ino,35,Includes the contents of a file (BlynkSimpleEthernet.h)
#include <Servo.h>,examples/GettingStarted/Servo/Servo.ino,36,Includes the contents of a file (Servo.h)
#define BLYNK_PRINT Serial,examples/GettingStarted/VirtualPinRead/VirtualPinRead.ino,25,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/GettingStarted/VirtualPinRead/VirtualPinRead.ino,33,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/GettingStarted/VirtualPinRead/VirtualPinRead.ino,34,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/GettingStarted/VirtualPinRead/VirtualPinRead.ino,35,Includes the contents of a file (BlynkSimpleEthernet.h)
#define BLYNK_PRINT Serial,examples/GettingStarted/VirtualPinWrite/VirtualPinWrite.ino,29,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/GettingStarted/VirtualPinWrite/VirtualPinWrite.ino,37,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/GettingStarted/VirtualPinWrite/VirtualPinWrite.ino,38,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/GettingStarted/VirtualPinWrite/VirtualPinWrite.ino,39,Includes the contents of a file (BlynkSimpleEthernet.h)
#define BLYNK_PRINT Serial,examples/More/DHT11/DHT11.ino,32,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/More/DHT11/DHT11.ino,40,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/More/DHT11/DHT11.ino,41,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/More/DHT11/DHT11.ino,42,Includes the contents of a file (BlynkSimpleEthernet.h)
#include <DHT.h>,examples/More/DHT11/DHT11.ino,43,Includes the contents of a file (DHT.h)
#define DHTPIN 2          // What digital pin we're connected to,examples/More/DHT11/DHT11.ino,45,Defines a macro or constant (DHTPIN)
#define DHTTYPE DHT11     // DHT 11,examples/More/DHT11/DHT11.ino,48,Defines a macro or constant (DHTTYPE)
#define BLYNK_PRINT Serial,examples/More/FormatString/FormatString.ino,25,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/More/FormatString/FormatString.ino,33,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/More/FormatString/FormatString.ino,34,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/More/FormatString/FormatString.ino,35,Includes the contents of a file (BlynkSimpleEthernet.h)
#define BLYNK_PRINT Serial,examples/More/HandleDisconnect/HandleDisconnect.ino,23,Defines a macro or constant (BLYNK_PRINT)
#include <ESP8266WiFi.h>,examples/More/HandleDisconnect/HandleDisconnect.ino,31,Includes the contents of a file (ESP8266WiFi.h)
#include <BlynkSimpleEsp8266.h>,examples/More/HandleDisconnect/HandleDisconnect.ino,32,Includes the contents of a file (BlynkSimpleEsp8266.h)
#define BLYNK_PRINT Serial,examples/More/NeoPixel/NeoPixel.ino,28,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/More/NeoPixel/NeoPixel.ino,36,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/More/NeoPixel/NeoPixel.ino,37,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/More/NeoPixel/NeoPixel.ino,38,Includes the contents of a file (BlynkSimpleEthernet.h)
#include <Adafruit_NeoPixel.h>,examples/More/NeoPixel/NeoPixel.ino,39,Includes the contents of a file (Adafruit_NeoPixel.h)
#define PIN 8,examples/More/NeoPixel/NeoPixel.ino,41,Defines a macro or constant (PIN)
#define BLYNK_PRINT Serial,examples/More/PrintAllVirtual/PrintAllVirtual.ino,24,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/More/PrintAllVirtual/PrintAllVirtual.ino,32,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/More/PrintAllVirtual/PrintAllVirtual.ino,33,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/More/PrintAllVirtual/PrintAllVirtual.ino,34,Includes the contents of a file (BlynkSimpleEthernet.h)
#define BLYNK_PRINT Serial,examples/More/RTC/RTC.ino,40,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/More/RTC/RTC.ino,48,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/More/RTC/RTC.ino,49,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/More/RTC/RTC.ino,50,Includes the contents of a file (BlynkSimpleEthernet.h)
#include <TimeLib.h>,examples/More/RTC/RTC.ino,51,Includes the contents of a file (TimeLib.h)
#include <WidgetRTC.h>,examples/More/RTC/RTC.ino,52,Includes the contents of a file (WidgetRTC.h)
#define BLYNK_PRINT Serial,examples/More/RTC_Advanced/RTC_Advanced.ino,27,Defines a macro or constant (BLYNK_PRINT)
#include <SPI.h>,examples/More/RTC_Advanced/RTC_Advanced.ino,35,Includes the contents of a file (SPI.h)
#include <Ethernet.h>,examples/More/RTC_Advanced/RTC_Advanced.ino,36,Includes the contents of a file (Ethernet.h)
#include <BlynkSimpleEthernet.h>,examples/More/RTC_Advanced/RTC_Advanced.ino,37,Includes the contents of a file (BlynkSimpleEthernet.h)
